datetime,equity,cash,positions_value,positions,return,return_cum
2020-05-01,11566.671,-3.558,11570.229,{'SPY': 43},-2.639,15.667
2020-05-04,11604.731,-3.558,11608.289,{'SPY': 43},0.329,16.047
2020-05-05,11709.496,-3.558,11713.054,{'SPY': 43},0.903,17.095
2020-05-06,11630.514,-3.558,11634.071,{'SPY': 43},-0.675,16.305
2020-05-07,11770.061,-3.558,11773.619,{'SPY': 43},1.2,17.701
2020-05-08,11965.264,-3.558,11968.822,{'SPY': 43},1.658,19.653
2020-05-11,11968.949,-3.558,11972.507,{'SPY': 43},0.031,19.689
2020-05-12,11725.866,-3.558,11729.424,{'SPY': 43},-2.031,17.259
2020-05-13,11523.293,-3.558,11526.851,{'SPY': 43},-1.728,15.233
2020-05-14,11661.615,-3.558,11665.173,{'SPY': 43},1.2,16.616
2020-05-15,11711.134,-3.558,11714.692,{'SPY': 43},0.425,17.111
2020-05-18,12068.598,-3.558,12072.155,{'SPY': 43},3.052,20.686
2020-05-19,11946.852,-3.558,11950.41,{'SPY': 43},-1.009,19.469
2020-05-20,12149.012,-3.558,12152.57,{'SPY': 43},1.692,21.49
2020-05-21,12060.208,-3.558,12063.766,{'SPY': 43},-0.731,20.602
2020-05-22,12085.991,-3.558,12089.549,{'SPY': 43},0.214,20.86
2020-05-26,12238.632,-3.558,12242.19,{'SPY': 43},1.263,22.386
2020-05-27,12415.831,-3.558,12419.389,{'SPY': 43},1.448,24.158
2020-05-28,12394.55,-3.558,12398.108,{'SPY': 43},-0.171,23.946
2020-05-29,12443.661,-3.558,12447.219,{'SPY': 43},0.396,24.437
2020-06-01,12501.771,-3.558,12505.329,{'SPY': 43},0.467,25.018
2020-06-02,12606.123,-3.558,12609.681,{'SPY': 43},0.835,26.061
2020-06-03,12773.161,-3.558,12776.719,{'SPY': 43},1.325,27.732
2020-06-04,12736.259,-3.558,12739.816,{'SPY': 43},-0.289,27.363
2020-06-05,13062.009,-3.558,13065.567,{'SPY': 43},2.558,30.62
2020-06-08,13224.885,-3.558,13228.443,{'SPY': 43},1.247,32.249
2020-06-09,13125.03,-3.558,13128.588,{'SPY': 43},-0.755,31.25
2020-06-10,13051.371,-3.558,13054.929,{'SPY': 43},-0.561,30.514
2020-06-11,12298.789,-3.558,12302.347,{'SPY': 43},-5.766,22.988
2020-06-12,12448.571,-3.558,12452.129,{'SPY': 43},1.218,24.486
